Table,Column,SampleIndex,OriginalReal,NormalizedDecimal,MigratedCents,Difference,Status
OrcamentoItens,PrecoUnitario,8,120.0,120,12000,0,PASS
OrcamentoItens,PrecoUnitario,9,480.0,480,48000,0,PASS
OrcamentoItens,PrecoUnitario,10,480.0,480,48000,0,PASS
OrcamentoItens,PrecoUnitario,11,480.0,480,48000,0,PASS
OrcamentoItens,PrecoUnitario,12,480.0,480,48000,0,PASS
OrcamentoItens,PrecoUnitario,13,480.0,480,48000,0,PASS
OrcamentoItens,PrecoUnitario,14,480.0,480,48000,0,PASS
OrcamentoItens,PrecoCusto,0,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,1,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,2,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,3,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,4,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,5,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,6,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,7,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,8,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,9,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,10,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,11,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,12,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,13,0.0,0,0,0,PASS
OrcamentoItens,PrecoCusto,14,0.0,0,0,0,PASS
OrcamentoItens,Desconto,0,0.0,0,0,0,PASS
OrcamentoItens,Desconto,1,0.0,0,0,0,PASS
OrcamentoItens,Desconto,2,0.0,0,0,0,PASS
OrcamentoItens,Desconto,3,0.0,0,0,0,PASS
OrcamentoItens,Desconto,4,0.0,0,0,0,PASS
OrcamentoItens,Desconto,5,0.0,0,0,0,PASS
OrcamentoItens,Desconto,6,0.0,0,0,0,PASS
OrcamentoItens,Desconto,7,0.0,0,0,0,PASS
